	AA2	gene_name	geneID	identity	EGGNOG	annotation	COG	COG1	COG2	ref	type
24	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_31	1.5	99.44316216216218	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
25	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_32	2.5	99.56902702702699	COG3590	peptidase	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
26	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_33	3.5	99.570027027027	COG3247	response to pH	U	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
27	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_34	4.5	100.0	COG0024	Methionine aminopeptidase	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
28	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_35	5.5	99.96056756756757	COG0372	Belongs to the citrate synthase family	C	METABOLISM	   Energy production and conversion	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
29	36	D110_BL_03_NODE_3_length_312211_cov_31571_32177_36	6.5	99.72230555555551	COG2171	N-acyltransferase activity	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
30	36	D110_BL_03_NODE_3_length_312211_cov_31571_32177_37	7.5	99.84666666666668	COG2378	regulation of single-species biofilm formation	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
31	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_38	8.5	99.82756249999994	COG0553	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
32	34	D110_BL_03_NODE_3_length_312211_cov_31571_32177_39	9.5	96.20341176470589	COG0701	Predicted permease	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
33	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_4	-25.5	99.51925	COG2814	Major facilitator Superfamily	G	METABOLISM	   Carbohydrate transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
34	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_40	10.5	99.036375	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
35	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_41	11.5	99.36403124999998	COG3727	T/G mismatch-specific endonuclease activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
36	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_42	12.5	99.26062499999996	COG0673	inositol 2-dehydrogenase activity	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
37	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_43	13.5	99.90684374999995	COG0436	Aminotransferase	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
38	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_44	14.5	93.57060000000001	COG0248	Ppx GppA phosphatase	F	METABOLISM	   Nucleotide transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
39	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_45	15.5	98.94187499999998	COG3021	interspecies interaction between organisms	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
40	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_46	16.5	89.5833243243243	306IB		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
41	34	D110_BL_03_NODE_3_length_312211_cov_31571_32177_47	17.5	94.93079411764705	COG3613	nucleoside 2-deoxyribosyltransferase	F	METABOLISM	   Nucleotide transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
42	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_48	18.5	97.63290625	COG1970	mechanosensitive ion channel activity	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
43	39	D110_BL_03_NODE_3_length_312211_cov_31571_32177_49	19.5	87.45246153846149	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
44	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_5	-24.5	99.81949999999996	COG4952	isomerase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
45	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_50	20.5	99.4358125	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
46	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_51	21.5	98.57137499999997	COG2249	NAD(P)H dehydrogenase (quinone) activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
47	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_52	22.5	98.45312499999999	COG1722	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
48	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_53	23.5	98.73003124999997	COG1570	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
49	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_54	24.5	99.78971875000006	COG1327	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
50	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_55	25.5	99.18843750000003	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
51	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_56	26.5	97.01021875	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
52	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_57	27.5	91.44390625000001	COG2170	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
53	18	D110_BL_03_NODE_3_length_312211_cov_31571_32177_58	28.5	99.5446666666667	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
54	30	D110_BL_03_NODE_3_length_312211_cov_31571_32177_59	29.5	93.55213333333337	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
55	17	D110_BL_03_NODE_3_length_312211_cov_31571_32177_6	-23.5	99.37829411764704	COG3328	transposase activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Transposase
56	5	D110_BL_03_NODE_3_length_312211_cov_31571_32177_60	30.5	98.57159999999999	COG1285	pathogenesis	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
57	9	D110_BL_03_NODE_3_length_312211_cov_31571_32177_61	31.5	98.61088888888887	COG1669	hydrolase activity, acting on ester bonds	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
58	9	D110_BL_03_NODE_3_length_312211_cov_31571_32177_62	32.5	97.67844444444444	33D6A	Nucleotidyltransferase substrate binding protein like	H	METABOLISM	   Coenzyme transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
59	17	D110_BL_03_NODE_3_length_312211_cov_31571_32177_63	33.5	85.58817647058824	COG3934	Belongs to the glycosyl hydrolase 5 (cellulase A) family	G	METABOLISM	   Carbohydrate transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
60	8	D110_BL_03_NODE_3_length_312211_cov_31571_32177_64	34.5	98.88050000000001	3228D		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
61	20	D110_BL_03_NODE_3_length_312211_cov_31571_32177_65	35.5	53.50415	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
62	6	D110_BL_03_NODE_3_length_312211_cov_31571_32177_66	36.5	99.8165	COG2807	transmembrane transport	P	METABOLISM	   Inorganic ion transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
63	4	D110_BL_03_NODE_3_length_312211_cov_31571_32177_67	37.5	100.0	COG2936	dipeptidyl-peptidase activity	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
64	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_7	-22.5	83.59118918918917	COG4214	carbohydrate transport	G	METABOLISM	   Carbohydrate transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
65	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_8	-21.5	96.92262857142863	COG2244	polysaccharide biosynthetic process	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
66	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_9	-20.5	97.17282857142851	31VWV		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
0	4	D110_BL_05_NODE_3_length_312259_cov_280083_280689_1	37.5	100.0	COG2936	dipeptidyl-peptidase activity	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
1	18	D110_BL_05_NODE_3_length_312259_cov_280083_280689_10	28.5	99.5446666666667	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
2	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_11	27.5	91.44390625000001	COG2170	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
3	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_12	26.5	97.01021875	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
4	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_13	25.5	99.18843750000003	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
5	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_14	24.5	99.78971875000006	COG1327	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
6	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_15	23.5	98.73003124999997	COG1570	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
7	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_16	22.5	98.45312499999999	COG1722	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
8	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_17	21.5	98.57137499999997	COG2249	NAD(P)H dehydrogenase (quinone) activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
9	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_18	20.5	99.4358125	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
10	39	D110_BL_05_NODE_3_length_312259_cov_280083_280689_19	19.5	87.45246153846149	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
11	6	D110_BL_05_NODE_3_length_312259_cov_280083_280689_2	36.5	99.8165	COG2807	transmembrane transport	P	METABOLISM	   Inorganic ion transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
12	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_20	18.5	97.63290625	COG1970	mechanosensitive ion channel activity	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
13	34	D110_BL_05_NODE_3_length_312259_cov_280083_280689_21	17.5	94.93079411764705	COG3613	nucleoside 2-deoxyribosyltransferase	F	METABOLISM	   Nucleotide transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
14	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_22	16.5	89.5833243243243	306IB		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
15	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_23	15.5	98.94187499999998	COG3021	interspecies interaction between organisms	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
16	35	D110_BL_05_NODE_3_length_312259_cov_280083_280689_24	14.5	93.57060000000001	COG0248	Ppx GppA phosphatase	F	METABOLISM	   Nucleotide transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
17	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_25	13.5	99.90684374999995	COG0436	Aminotransferase	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
18	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_26	12.5	99.26062499999996	COG0673	inositol 2-dehydrogenase activity	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
19	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_27	11.5	99.36403124999998	COG3727	T/G mismatch-specific endonuclease activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
20	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_28	10.5	99.036375	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
21	34	D110_BL_05_NODE_3_length_312259_cov_280083_280689_29	9.5	96.20341176470589	COG0701	Predicted permease	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
22	20	D110_BL_05_NODE_3_length_312259_cov_280083_280689_3	35.5	53.50415	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
23	32	D110_BL_05_NODE_3_length_312259_cov_280083_280689_30	8.5	99.82756249999994	COG0553	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
24	36	D110_BL_05_NODE_3_length_312259_cov_280083_280689_31	7.5	99.84666666666668	COG2378	regulation of single-species biofilm formation	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
25	36	D110_BL_05_NODE_3_length_312259_cov_280083_280689_32	6.5	99.72230555555551	COG2171	N-acyltransferase activity	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
26	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_33	5.5	99.96056756756757	COG0372	Belongs to the citrate synthase family	C	METABOLISM	   Energy production and conversion	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
27	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_34	4.5	100.0	COG0024	Methionine aminopeptidase	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
28	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_35	3.5	99.570027027027	COG3247	response to pH	U	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
29	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_36	2.5	99.56902702702699	COG3590	peptidase	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
30	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_37	1.5	99.44316216216218	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
31	37	D110_BL_05_NODE_3_length_312259_cov_280083_280689_38	0.5	99.94551351351353	COG0442	prolyl-tRNA aminoacylation	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
32	39	D110_BL_05_NODE_3_length_312259_cov_280083_280689_39	-0.5	100.0	COG3512	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Cas genes
33	8	D110_BL_05_NODE_3_length_312259_cov_280083_280689_4	34.5	98.88050000000001	3228D		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_05_NODE_3_length_312259_cov_280083_280689	Others
