	newgene	geneID	identity	AA2	oldgeneID	gene_name	EGGNOG	annotation	COG	COG1	COG2	type
23	H11_BL_18_NODE_3_length_195611_cov_71992_72599_68	30	82.9470909090909	33	124	H11_BL_18_NODE_3_length_195611_cov_71992_72599_68	COG2814	Major facilitator Superfamily	E	METABOLISM	   Amino acid transport and metabolism	Others
24	D549_BL_07_NODE_2_length_343373_cov_215287_215442_74	31	92.9702	10	159	D549_BL_07_NODE_2_length_343373_cov_215287_215442_74	33YCY		S	POORLY CHARACTERIZED	     Function unknown	Others
25	D549_BL_07_NODE_2_length_343373_cov_215287_215442_73	32	99.70123076923076	13	87	D549_BL_07_NODE_2_length_343373_cov_215287_215442_73	COG0656	L-ascorbic acid biosynthetic process	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	Others
26	D30_BL_19_NODE_2_length_240698_cov_228098_228769_7	33	80.65345454545452	33	129	D30_BL_19_NODE_2_length_240698_cov_228098_228769_7	COG2814	Major facilitator Superfamily	G	METABOLISM	   Carbohydrate transport and metabolism	Others
27	D82_BL_13_NODE_10_length_96939_cov_11840_12190_32	34	96.37525925925927	27	136	D82_BL_13_NODE_10_length_96939_cov_11840_12190_32	COG0242	peptide deformylase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
28	D571_BL_13_NODE_3_length_274432_cov_74983_75204_74	35	96.5704375	32	92	D571_BL_13_NODE_3_length_274432_cov_74983_75204_74	30TT6		S	POORLY CHARACTERIZED	     Function unknown	Others
29	D549_BL_07_NODE_2_length_343373_cov_215287_215442_71	36	84.54529411764706	34	93	D549_BL_07_NODE_2_length_343373_cov_215287_215442_71	30TT6		S	POORLY CHARACTERIZED	     Function unknown	Others
30	D549_BL_07_NODE_2_length_343373_cov_215287_215442_70	37	97.30843750000001	32	155	D549_BL_07_NODE_2_length_343373_cov_215287_215442_70	COG2223	nitrite transmembrane transporter activity	P	METABOLISM	   Inorganic ion transport and metabolism	Others
31	D110_BL_03_NODE_3_length_312211_cov_31571_32177_4	38	99.51925	32	166	D110_BL_03_NODE_3_length_312211_cov_31571_32177_4	COG2814	Major facilitator Superfamily	G	METABOLISM	   Carbohydrate transport and metabolism	Others
32	H35_BL_09_NODE_1_length_397121_cov_133421_133899_7	39	99.61821874999998	32	34	H35_BL_09_NODE_1_length_397121_cov_133421_133899_7	COG4952	isomerase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
33	D549_BL_07_NODE_2_length_343373_cov_215287_215442_67	40	99.859375	16	52	D549_BL_07_NODE_2_length_343373_cov_215287_215442_67	COG1979	alcohol dehydrogenase	C	METABOLISM	   Energy production and conversion	Others
34	H25_BL_06_NODE_4_length_233680_cov_149707_149862_15	41	99.24337500000001	16	65	H25_BL_06_NODE_4_length_233680_cov_149707_149862_15	COG5606	Transcriptional regulator	Q	METABOLISM	   Secondary metabolites biosynthesis, transport and catabolism	Others
35	D30_BL_19_NODE_2_length_240698_cov_228098_228769_15	42	66.84736842105262	38	37	D30_BL_19_NODE_2_length_240698_cov_228098_228769_15	COG2182	Extracellular solute-binding protein	G	METABOLISM	   Carbohydrate transport and metabolism	Others
36	H25_BL_06_NODE_4_length_233680_cov_149707_149862_17	43	94.15682352941177	17	64	H25_BL_06_NODE_4_length_233680_cov_149707_149862_17	COG1175	transmembrane transport	P	METABOLISM	   Inorganic ion transport and metabolism	Others
37	H25_BL_06_NODE_4_length_233680_cov_149707_149862_18	44	94.00858823529411	17	80	H25_BL_06_NODE_4_length_233680_cov_149707_149862_18	COG3833	ABC-type maltose transport systems, permease component	P	METABOLISM	   Inorganic ion transport and metabolism	Others
38	D30_BL_19_NODE_2_length_240698_cov_228098_228769_18	45	94.30388235294119	17	24	D30_BL_19_NODE_2_length_240698_cov_228098_228769_18	COG3940	Belongs to the glycosyl hydrolase 43 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
39	H35_BL_09_NODE_1_length_397121_cov_133421_133899_14	46	100.0	1	13	H35_BL_09_NODE_1_length_397121_cov_133421_133899_14	COG2755	lipolytic protein G-D-S-L family	E	METABOLISM	   Amino acid transport and metabolism	Others
40	H35_BL_09_NODE_1_length_397121_cov_133421_133899_15	47	100.0	1	58	H35_BL_09_NODE_1_length_397121_cov_133421_133899_15	COG3405	Belongs to the glycosyl hydrolase 8 (cellulase D) family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
41	H35_BL_09_NODE_1_length_397121_cov_133421_133899_16	48	32.0037	10	30	H35_BL_09_NODE_1_length_397121_cov_133421_133899_16	COG2272	Belongs to the type-B carboxylesterase lipase family	I	METABOLISM	   Lipid transport and metabolism	Others
42	H35_BL_09_NODE_1_length_397121_cov_133421_133899_17	49	32.90176470588235	17	22	H35_BL_09_NODE_1_length_397121_cov_133421_133899_17	COG3507	Belongs to the glycosyl hydrolase 43 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
43	H11_BL_18_NODE_3_length_195611_cov_71992_72599_54	50	75.03941379310346	29	18	H11_BL_18_NODE_3_length_195611_cov_71992_72599_54	30YZK	Lipocalin-like domain	S	POORLY CHARACTERIZED	     Function unknown	Others
44	D30_BL_19_NODE_2_length_240698_cov_228098_228769_20	51	65.79236842105264	38	109	D30_BL_19_NODE_2_length_240698_cov_228098_228769_20	COG0110	maltose O-acetyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
45	D56_BL_10_NODE_4_length_201238_cov_83016_83619_58	52	99.81975	16	12	D56_BL_10_NODE_4_length_201238_cov_83016_83619_58	COG3420	alginic acid biosynthetic process	P	METABOLISM	   Inorganic ion transport and metabolism	Others
46	D30_BL_19_NODE_2_length_240698_cov_228098_228769_22	53	100.0	16	169	D30_BL_19_NODE_2_length_240698_cov_228098_228769_22	32ZZT		S	POORLY CHARACTERIZED	     Function unknown	Others
47	H41_BL_26_NODE_2_length_309318_cov_108025_108052_4	54	44.564051282051295	39	5	H41_BL_26_NODE_2_length_309318_cov_108025_108052_4	COG4581	dead DEAH box helicase	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
48	H41_BL_26_NODE_2_length_309318_cov_108025_108052_6	56	43.333	1	100	H41_BL_26_NODE_2_length_309318_cov_108025_108052_6	COG0546	phosphoglycolate phosphatase activity	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	Others
49	H41_BL_26_NODE_2_length_309318_cov_108025_108052_8	58	44.443999999999996	2	138	H41_BL_26_NODE_2_length_309318_cov_108025_108052_8	COG1377	Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin	N	CELLULAR PROCESSES AND SIGNALING	Cell motility	Others
50	H41_BL_26_NODE_2_length_309318_cov_108025_108052_11	61	23.901999999999997	1	90	H41_BL_26_NODE_2_length_309318_cov_108025_108052_11	COG3879	Bacterial protein of unknown function (DUF881)	E	METABOLISM	   Amino acid transport and metabolism	Others
51	H41_BL_26_NODE_2_length_309318_cov_108025_108052_12	62	57.894999999999996	13	149	H41_BL_26_NODE_2_length_309318_cov_108025_108052_12	COG3856	small basic protein	S	POORLY CHARACTERIZED	     Function unknown	Others
52	H41_BL_26_NODE_2_length_309318_cov_108025_108052_13	63	32.06133333333333	3	70	H41_BL_26_NODE_2_length_309318_cov_108025_108052_13	COG3879	Bacterial protein of unknown function (DUF881)	E	METABOLISM	   Amino acid transport and metabolism	Others
53	H41_BL_26_NODE_2_length_309318_cov_108025_108052_16	66	46.961090909090906	11	162	H41_BL_26_NODE_2_length_309318_cov_108025_108052_16	COG0140	phosphoribosyl-ATP diphosphatase activity	E	METABOLISM	   Amino acid transport and metabolism	Others
54	H41_BL_26_NODE_2_length_309318_cov_108025_108052_17	67	37.795611111111114	18	105	H41_BL_26_NODE_2_length_309318_cov_108025_108052_17	COG0036	Belongs to the ribulose-phosphate 3-epimerase family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
55	H41_BL_26_NODE_2_length_309318_cov_108025_108052_18	68	27.273000000000007	3	73	H41_BL_26_NODE_2_length_309318_cov_108025_108052_18	COG0682	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
56	H41_BL_26_NODE_2_length_309318_cov_108025_108052_19	69	37.5	33	82	H41_BL_26_NODE_2_length_309318_cov_108025_108052_19	COG0159	tryptophan synthase activity	E	METABOLISM	   Amino acid transport and metabolism	Others
57	H41_BL_26_NODE_2_length_309318_cov_108025_108052_20	70	34.375	26	11	H41_BL_26_NODE_2_length_309318_cov_108025_108052_20	COG0133	tryptophan synthase activity	E	METABOLISM	   Amino acid transport and metabolism	Others
58	H41_BL_26_NODE_2_length_309318_cov_108025_108052_24	74	25.758000000000003	1	110	H41_BL_26_NODE_2_length_309318_cov_108025_108052_24	COG5340	Psort location Cytoplasmic, score	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
59	H41_BL_26_NODE_2_length_309318_cov_108025_108052_25	75	43.333	1	128	H41_BL_26_NODE_2_length_309318_cov_108025_108052_25	COG4405	Protein conserved in bacteria	I	METABOLISM	   Lipid transport and metabolism	Others
60	H41_BL_26_NODE_2_length_309318_cov_108025_108052_26	76	29.70655555555556	9	121	H41_BL_26_NODE_2_length_309318_cov_108025_108052_26	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
61	H41_BL_26_NODE_2_length_309318_cov_108025_108052_27	77	29.81175	32	115	H41_BL_26_NODE_2_length_309318_cov_108025_108052_27	COG3981	Acetyltransferase (GNAT) domain	Q	METABOLISM	   Secondary metabolites biosynthesis, transport and catabolism	Others
62	H41_BL_26_NODE_2_length_309318_cov_108025_108052_28	78	36.585	2	151	H41_BL_26_NODE_2_length_309318_cov_108025_108052_28	COG2245	Protein of unknown function (DUF996)	S	POORLY CHARACTERIZED	     Function unknown	Others
63	D485_BL_08_NODE_12_length_68481_cov_36433_36781_51	81	99.07941176470588	17	38	D485_BL_08_NODE_12_length_68481_cov_36433_36781_51	COG3328	transposase activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Transposase
64	D110_BL_03_NODE_3_length_312211_cov_31571_32177_7	82	82.9265	38	160	D110_BL_03_NODE_3_length_312211_cov_31571_32177_7	COG4214	carbohydrate transport	G	METABOLISM	   Carbohydrate transport and metabolism	Others
65	H41_BL_13_NODE_3_length_253622_cov_201193_201864_53	83	88.99157142857142	35	147	H41_BL_13_NODE_3_length_253622_cov_201193_201864_53	COG2860	membrane	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	Others
66	D485_BL_08_NODE_12_length_68481_cov_36433_36781_49	84	95.58945714285714	35	146	D485_BL_08_NODE_12_length_68481_cov_36433_36781_49	31Y8I		S	POORLY CHARACTERIZED	     Function unknown	Others
67	H02_BL_12_NODE_2_length_317123_cov_34922_35077_18	85	86.07597222222222	36	143	H02_BL_12_NODE_2_length_317123_cov_34922_35077_18	31VWV		S	POORLY CHARACTERIZED	     Function unknown	Others
68	D110_BL_03_NODE_3_length_312211_cov_31571_32177_9	86	97.17282857142854	35	144	D110_BL_03_NODE_3_length_312211_cov_31571_32177_9	31VWV		S	POORLY CHARACTERIZED	     Function unknown	Others
69	D110_BL_03_NODE_3_length_312211_cov_31571_32177_10	87	99.96622857142856	35	28	D110_BL_03_NODE_3_length_312211_cov_31571_32177_10	COG1070	Carbohydrate kinase	G	METABOLISM	   Carbohydrate transport and metabolism	Others
70	D485_BL_08_NODE_12_length_68481_cov_36433_36781_46	88	99.74205714285715	35	46	D485_BL_08_NODE_12_length_68481_cov_36433_36781_46	COG1940	carbohydrate kinase activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
71	D110_BL_03_NODE_3_length_312211_cov_31571_32177_12	89	100.0	35	168	D110_BL_03_NODE_3_length_312211_cov_31571_32177_12	COG0254	rRNA binding	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
72	D30_BL_19_NODE_2_length_240698_cov_228098_228769_28	90	99.67745714285715	35	60	D30_BL_19_NODE_2_length_240698_cov_228098_228769_28	COG0216	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
73	H09_BL_07_NODE_2_length_488457_cov_214354_214961_33	91	85.43328571428573	35	74	H09_BL_07_NODE_2_length_488457_cov_214354_214961_33	COG2890	protein-(glutamine-N5) methyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
74	H41_BL_13_NODE_3_length_253622_cov_201193_201864_46	92	97.19897368421053	38	161	H41_BL_13_NODE_3_length_253622_cov_201193_201864_46	COG0110	maltose O-acetyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
75	H25_BL_06_NODE_4_length_233680_cov_149707_149862_30	93	92.04697142857141	35	76	H25_BL_06_NODE_4_length_233680_cov_149707_149862_30	COG2890	protein-(glutamine-N5) methyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
76	D110_BL_03_NODE_3_length_312211_cov_31571_32177_15	94	75.89280000000001	35	53	D110_BL_03_NODE_3_length_312211_cov_31571_32177_15	COG0683	leucine binding	E	METABOLISM	   Amino acid transport and metabolism	Others
77	D110_BL_03_NODE_3_length_312211_cov_31571_32177_16	95	74.89426315789474	38	75	D110_BL_03_NODE_3_length_312211_cov_31571_32177_16	COG0559	Belongs to the binding-protein-dependent transport system permease family	E	METABOLISM	   Amino acid transport and metabolism	Others
78	D110_BL_03_NODE_3_length_312211_cov_31571_32177_17	96	77.85483333333332	36	61	D110_BL_03_NODE_3_length_312211_cov_31571_32177_17	COG4177	L-phenylalanine transmembrane transporter activity	E	METABOLISM	   Amino acid transport and metabolism	Others
79	D110_BL_03_NODE_3_length_312211_cov_31571_32177_18	97	73.18697368421053	38	84	D110_BL_03_NODE_3_length_312211_cov_31571_32177_18	COG0411	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	Others
80	D110_BL_03_NODE_3_length_312211_cov_31571_32177_19	98	75.78808333333332	36	101	D110_BL_03_NODE_3_length_312211_cov_31571_32177_19	COG0410	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	Others
81	H02_BL_12_NODE_2_length_317123_cov_34922_35077_24	99	99.18689189189189	37	102	H02_BL_12_NODE_2_length_317123_cov_34922_35077_24	COG0110	maltose O-acetyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
82	D82_BL_13_NODE_10_length_96939_cov_11840_12190_17	100	97.7334210526316	38	104	D82_BL_13_NODE_10_length_96939_cov_11840_12190_17	COG0009	L-threonylcarbamoyladenylate synthase	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
83	D110_BL_03_NODE_3_length_312211_cov_31571_32177_22	101	99.21086486486483	37	40	D110_BL_03_NODE_3_length_312211_cov_31571_32177_22	COG0472	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
84	D110_BL_03_NODE_3_length_312211_cov_31571_32177_23	102	99.93740540540539	37	26	D110_BL_03_NODE_3_length_312211_cov_31571_32177_23	COG0516	GMP reductase activity	F	METABOLISM	   Nucleotide transport and metabolism	Others
85	H09_BL_07_NODE_2_length_488457_cov_214354_214961_38	103	97.96831578947368	38	106	H09_BL_07_NODE_2_length_488457_cov_214354_214961_38	COG1949	3'-to-5' exoribonuclease specific for small oligoribonucleotides	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
86	D56_BL_10_NODE_4_length_201238_cov_83016_83619_39	104	99.63852631578948	38	31	D56_BL_10_NODE_4_length_201238_cov_83016_83619_39	COG0507	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
87	D56_BL_10_NODE_4_length_201238_cov_83016_83619_38	105	53.76225	8	126							Others
88	D549_BL_12_NODE_3_length_343349_cov_215263_215418_39	106	99.80048648648649	37	4	D549_BL_12_NODE_3_length_343349_cov_215263_215418_39	COG3513	CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Cas genes
89	H40_BL_09_NODE_29_length_13322_cov_4801_4956_2	107	80.70029729729733	37	103							Others
90	D110_BL_03_NODE_3_length_312211_cov_31571_32177_28	108	100.0	39	77	D110_BL_03_NODE_3_length_312211_cov_31571_32177_28	COG1518	maintenance of DNA repeat elements	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Cas genes
91	D110_BL_03_NODE_3_length_312211_cov_31571_32177_29	109	98.4091	40	150	D110_BL_03_NODE_3_length_312211_cov_31571_32177_29	COG3512	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Cas genes
92	H41_BL_13_NODE_3_length_253622_cov_201193_201864_37	110	63.8885	12	171							Others
93	H35_BL_10_NODE_2_length_379347_cov_263239_263717_36	111	73.38049999999998	12	181							Others
94	H35_BL_09_NODE_1_length_397121_cov_133421_133899_43	112	71.51527272727274	11	172	H35_BL_09_NODE_1_length_397121_cov_133421_133899_43	3348R		S	POORLY CHARACTERIZED	     Function unknown	Others
95	H11_BL_18_NODE_3_length_195611_cov_71992_72599_34	113	70.404	11	182							Others
96	H11_BL_18_NODE_3_length_195611_cov_71992_72599_33	114	85.89769230769231	13	185							Others
97	H02_BL_11_NODE_4_length_129034_cov_48128_48799_33	115	61.812000000000005	13	177	H02_BL_11_NODE_4_length_129034_cov_48128_48799_33	2Z94I	Uncharacterized conserved protein (DUF2293)	S	POORLY CHARACTERIZED	     Function unknown	Others
98	D571_BL_13_NODE_3_length_274432_cov_74983_75204_39	116	66.6065	4	59	D571_BL_13_NODE_3_length_274432_cov_74983_75204_39	COG2826	transposase and inactivated derivatives, IS30 family	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Transposase
99	D571_BL_13_NODE_3_length_274432_cov_74983_75204_38	117	63.045857142857145	14	176							Others
100	D571_BL_13_NODE_3_length_274432_cov_74983_75204_37	118	64.47628571428572	14	175	D571_BL_13_NODE_3_length_274432_cov_74983_75204_37	30JGU		S	POORLY CHARACTERIZED	     Function unknown	Others
101	D571_BL_22_NODE_3_length_274625_cov_199293_199514_46	119	56.863923076923086	13	173							Others
102	D503_BL_05_NODE_13_length_66361_cov_46309_46852_35	120	60.28430769230769	13	174							Others
103	D30_BL_19_NODE_2_length_240698_cov_228098_228769_44	121	68.25361538461537	13	180							Others
104	D30_BL_19_NODE_2_length_240698_cov_228098_228769_45	122	89.28866666666666	12	183							Others
105	D485_BL_08_NODE_12_length_68481_cov_36433_36781_27	123	99.65886486486488	37	16	D485_BL_08_NODE_12_length_68481_cov_36433_36781_27	COG0442	prolyl-tRNA aminoacylation	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
106	H09_BL_07_NODE_2_length_488457_cov_214354_214961_44	124	94.26559459459463	37	96	H09_BL_07_NODE_2_length_488457_cov_214354_214961_44	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
107	D110_BL_03_NODE_3_length_312211_cov_31571_32177_31	125	99.44316216216218	37	97	D110_BL_03_NODE_3_length_312211_cov_31571_32177_31	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
108	H35_BL_09_NODE_1_length_397121_cov_133421_133899_46	126	99.47486486486486	37	9	H35_BL_09_NODE_1_length_397121_cov_133421_133899_46	COG3590	peptidase	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	Others
109	H41_BL_13_NODE_3_length_253622_cov_201193_201864_33	127	99.57002702702702	37	69	H41_BL_13_NODE_3_length_253622_cov_201193_201864_33	COG3247	response to pH	U	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	Others
